experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310_nd2	20220611 061657	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.034266184	0.475499135	1024	4542	344	0.012280911	10288	15632000	56
HT8310_nd2	20220611 103050	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.029444185	0.399219522	16	4293	769	0.015433458	10178	15502000	86
HT8310_nd2	20220611 124317	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.029907082	0.359588274	150	4476	311	0.010912708	12428	15412000	102
HT8310_nd2	20220611 135959	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.041768492	0.866533068	16	3874	399	0.013764222	11276	15364000	113
HT8310_nd2	20220611 094348	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.028595208	0.386561534	16	6364	1372	0.013131446	11418	15342000	82
HT8310_nd2	20220611 132254	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.085945394	0.480508164	339	6520	87	0.012687417	11576	15304000	109
HT8310_nd2	20220611 014837	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020069028	0.213391559	1024	4572	556	0.013813507	10166	15274000	17
HT8310_nd2	20220611 140813	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.089800983	0.494063068	81	6762	119	0.012959423	11490	15270000	115
HT8310_nd2	20220611 122448	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.027730859	0.711442596	16	4185	578	0.012677927	11782	15218000	100
HT8310_nd2	20220611 034712	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.037111169	0.12707243	1021	4464	309	0.013227203	10594	15206000	30
HT8310_nd2	20220611 090350	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.03575678	0.472327512	843	4236	287	0.01413497	10012	15188000	79
