experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310_nd9	20220618 230929	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0977619717968628	0.815840821854363	498	2920	138	0.0137195705016753	9492	14268000	1
HT8310_nd9	20220618 231343	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.192580442410544	0.748038908468152	739	4554	143	0.00827897550489389	9850	13790000	2
HT8310_nd9	20220618 231725	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.11143682397902	0.578649905449129	172	5376	97	0.0132456418826053	12090	14550000	3
HT8310_nd9	20220618 232114	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0621100555208977	0.312478146491048	676	3240	96	0.0177617450667584	10268	14212000	4
HT8310_nd9	20220618 232512	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.172466600326006	0.641884041373851	588	441	186	0.00256358463652074	8134	13106000	5
HT8310_nd9	20220618 232805	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14750497238012	0.96291481724038	370	7525	48	0.0160024268236615	10710	14250000	6
HT8310_nd9	20220618 233158	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.266012109857402	0.439932898747793	580	2003	117	0.00312834522776193	10032	12408000	7
HT8310_nd9	20220618 233615	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0494050870044157	0.338278153483407	68	7306	248	0.0188880473894373	10208	15472000	8
HT8310_nd9	20220618 233834	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198902703388594	0.113952193512523	831	1851	76	0.00856116545599303	11796	13164000	9
HT8310_nd9	20220618 234402	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0752227046072949	0.392065108304087	324	1464	337	0.00658716656813564	12606	15234000	10
HT8310_nd9	20220618 234702	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.219583124906057	0.509319421746477	869	6528	25	0.0165815025891181	10712	14728000	11
HT8310_nd9	20220618 235017	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.253567740796134	0.663306979305344	924	801	47	0.00562094673410818	10442	11398000	12
HT8310_nd9	20220618 235212	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.296198055158602	0.935429809009656	83	6084	102	0.0178801781933525	9862	13298000	13
HT8310_nd9	20220618 235412	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.245065108545241	0.205802949825011	208	5716	34	0.0180966230449978	9706	12854000	14
