experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310_nd9	20220619 192243	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020385639	0.342571758	16	3370	2248	0.014197329	11790	15930000	52
HT8310_nd9	20220620 002714	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.040864226	0.607787827	975	7332	285	0.015204715	11176	15824000	113
HT8310_nd9	20220619 192717	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100774648	0.270418621	57	2491	431	0.016419349	10472	15688000	53
HT8310_nd9	20220619 174700	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020029751	0.326760161	21	1611	2613	0.014251164	11698	15662000	41
HT8310_nd9	20220619 142447	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.030773132	0.449523287	1024	7053	523	0.016086939	10472	15568000	19
HT8310_nd9	20220619 182949	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.02956068	0.324818242	16	2050	948	0.016019377	10954	15566000	45
HT8310_nd9	20220619 190436	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.023417609	0.319301558	16	871	441	0.016766994	10840	15560000	51
HT8310_nd9	20220620 002042	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020804578	0.580107408	1024	6668	574	0.013392736	12062	15538000	112
HT8310_nd9	20220619 201233	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020114609	0.320933726	16	3313	2003	0.015464628	11106	15534000	61
HT8310_nd9	20220619 131346	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.049405087	0.338278153	68	7306	248	0.018888047	10208	15472000	8
