Feature	Gain	Cover	Frequency
Visa_mconsumospesos	0.20643581894219	0.0152134198425584	0.0246666666666667
Visa_mpagospesos	0.174900121402163	0.000736998620655909	0.0193333333333333
chomebanking_trx	0.101224276938361	0.00459682451093904	0.0166666666666667
mrentabilidad_annual	0.0866331876251794	0.0114050082356719	0.0413333333333333
mcaja_ahorro	0.065700934369732	0.00366964148862579	0.0133333333333333
ctarjeta_visa_trx	0.0532467151212859	0.0191742272611853	0.00933333333333333
mpayroll	0.037295770934497	0.197268460256063	0.0446666666666667
Visa_mpagado	0.0309707275512346	0.00888031863048337	0.00866666666666667
mtransferencias_recibidas	0.0282129783233486	0.0158825927890044	0.012
Visa_mpagominimo	0.0238796021117236	0.00649691232701955	0.00866666666666667
Master_mfinanciacion_limite	0.0191456416413219	0.0106023640517629	0.0253333333333333
mtarjeta_visa_debitos_automaticos	0.0181180357047867	0.0210850036768177	0.014
Visa_msaldototal	0.0171851247167781	0.0193708914370752	0.0146666666666667
Master_Fvencimiento	0.016121113793548	0.0154585309285983	0.0326666666666667
numero_de_cliente	0.0147025334285036	0.0199401123520182	0.036
cextraccion_autoservicio	0.014304888743891	0.00286342434509315	0.004
Visa_Fvencimiento	0.0128545336488069	0.0103108044906168	0.0293333333333333
mcomisiones	0.012616288507947	0.00641461313840235	0.018
mtarjeta_visa_descuentos	0.00940328163179102	0.00566080949578818	0.00866666666666667
Visa_cconsumos	0.00508065562115511	0.00374988168356162	0.008
Visa_msaldopesos	0.00460239105794149	0.0048478400641534	0.0113333333333333
cliente_antiguedad	0.00429146011253114	0.00478280008727711	0.0193333333333333
mrentabilidad	0.00391427598817949	0.00903807388165909	0.022
mautoservicio	0.00384598007250725	0.00442538300764595	0.0133333333333333
cproductos	0.00316862383297216	0.00741186250451995	0.0106666666666667
mpasivos_margen	0.00258279840920801	0.00988183738055793	0.02
mcuentas_saldo	0.0023587619334697	0.0171763069659208	0.0306666666666667
mpagomiscuentas	0.00235261148956019	0.00933514427883474	0.008
mcuenta_debitos_automaticos	0.00221265035234166	0.00362634206267928	0.008
mtarjeta_visa_consumo	0.00175135849988348	0.0360830467244408	0.0126666666666667
cliente_edad	0.00147916342117992	0.00596632782292121	0.0246666666666667
mcuenta_corriente	0.00146814716843491	0.0167505494636594	0.0286666666666667
Master_mpagosdolares	0.00144091650995863	0.0087792765435019	0.006
ctrx_quarter	0.00107785091237589	0.0478611264475861	0.028
ccheques_depositados	0.00107053869531702	0.00563380034337959	0.002
ccomisiones_otras	0.00105397464066425	0.0142587129194163	0.00866666666666667
mtransferencias_emitidas	0.0010387884330944	0.00196815572484117	0.0106666666666667
ctarjeta_visa_descuentos	0.000915186559894915	0.0192966768265893	0.008
ccajas_trx	0.000837338174541329	1.26567552766709e-05	0.000666666666666667
Master_msaldodolares	0.000827317881380828	0.00503466346141909	0.00333333333333333
Master_fechaalta	0.000670930468155386	0.0111944458524328	0.0226666666666667
Visa_fechaalta	0.000583490878365376	0.00877128280332716	0.024
mactivos_margen	0.000572650400322386	0.0350382285484198	0.026
mcajeros_propios_descuentos	0.000512511216442167	0.00184025588204534	0.00333333333333333
Master_msaldopesos	0.000460226382793819	0.0117976401631183	0.00733333333333333
mprestamos_personales	0.000453494594044409	0.0177449525738057	0.0126666666666667
cpagomiscuentas	0.000418843898596129	0.00276492572089457	0.006
cprestamos_personales	0.000373002661733041	0.00166533225708522	0.00333333333333333
cpayroll_trx	0.000363753536437261	0.0519819903456209	0.00933333333333333
Visa_mfinanciacion_limite	0.000361370989019848	0.00220957273398207	0.0113333333333333
cinversion2	0.000358481329665512	1.21117275374841e-05	0.000666666666666667
Master_msaldototal	0.00032579881471516	0.000616365814382568	0.00466666666666667
Visa_mpagosdolares	0.000322976119767751	0.00656425353212796	0.00533333333333333
mcomisiones_otras	0.000322599474441313	0.0114569069881701	0.01
Visa_msaldodolares	0.000309973703312159	0.00431077578582251	0.004
mplazo_fijo_dolares	0.000268304146680582	0.0183722795016097	0.006
Visa_fultimo_cierre	0.00022826281711759	0.000374585453415541	0.00666666666666667
ctransferencias_emitidas	0.000207188367011047	0.00391566095423093	0.00666666666666667
ctarjeta_visa_trx2	0.000195345966699969	0.000287471853102186	0.00333333333333333
Visa_mconsumosdolares	0.000186632490156503	0.00665206355677472	0.004
mcaja_ahorro_dolares	0.000180775610817395	0.016873846849991	0.0153333333333333
Master_mpagominimo	0.000169061519072495	0.003718421471283	0.00533333333333333
active_quarter	0.000167689258250851	5.60167398608641e-06	0.00133333333333333
ccomisiones_mantenimiento	0.000150966593863267	0.00294548129915961	0.006
Visa_mlimitecompra	0.00010806762582622	0.00559613287073801	0.00533333333333333
Master_mpagado	9.32609307486806e-05	0.0120562558253625	0.00333333333333333
ctransferencias_recibidas	8.95689324929585e-05	0.00913396848443713	0.006
Master_mpagospesos	8.37737248684766e-05	0.00956024073511888	0.0106666666666667
ctarjeta_debito	7.4401878186351e-05	0.00191716535190836	0.00666666666666667
Master_fultimo_cierre	5.71037269276172e-05	0.00797536062820139	0.00733333333333333
ccajas_consultas	5.18889700252398e-05	0.00438586849655491	0.00333333333333333
ctarjeta_visa_debitos_automaticos	5.17127433960097e-05	0.000639771727848756	0.00266666666666667
matm_other	5.03959435965709e-05	0.0163525883760965	0.00466666666666667
Master_Finiciomora	4.78045931298514e-05	0.00911437776514525	0.00266666666666667
mdescubierto_preacordado	4.20403254345392e-05	0.00310574973379937	0.00333333333333333
mcaja_ahorro_adicional	4.08708359035643e-05	0.00125522916266601	0.00466666666666667
mextraccion_autoservicio	3.94266005290549e-05	0.000534218022359581	0.00133333333333333
minversion1_pesos	3.79356875031017e-05	0.00164159327111176	0.00133333333333333
ctarjeta_master_trx	3.56598665554106e-05	0.00216851397763	0.00133333333333333
thomebanking	3.52685233067131e-05	8.93542699077892e-05	0.00133333333333333
ccaja_ahorro	3.33322169045767e-05	0.000439110681871487	0.002
Visa_delinquency	3.1248128833475e-05	0.000666447807750064	0.00133333333333333
cforex	2.96096398940364e-05	0.0024017555706831	0.00133333333333333
tpaquete7	2.85399928422963e-05	0.00524922271474562	0.004
matm	2.81443294633604e-05	8.57813102842314e-05	0.00133333333333333
ctarjeta_debito_trx	2.81084534234841e-05	0.00671937448256429	0.00333333333333333
mcomisiones_mantenimiento	2.73455168802226e-05	0.00134025348997915	0.002
cmobile_app_trx	2.60886319742895e-05	8.781002464676e-06	0.00133333333333333
ccallcenter_trx	2.58368416450405e-05	0.000341005688817866	0.002
ccaja_seguridad	2.50161855457604e-05	0.00745407187498808	0.00466666666666667
cpagodeservicios	2.40930764445933e-05	0.0028417746321199	0.002
tpaquete9	2.39242783230311e-05	0.000516565179473698	0.00266666666666667
ctarjeta_master	2.03154245707931e-05	2.27094891327827e-06	0.000666666666666667
ctarjeta_master_debitos_automaticos	1.87289094655949e-05	0.00323204477269648	0.00266666666666667
Master_cconsumos	1.79964524736166e-05	0.00445342165689523	0.00333333333333333
catm_trx_other	1.72838064275749e-05	0.00039490287635967	0.00133333333333333
mtarjeta_master_descuentos	1.6792465280771e-05	0.000659907474879823	0.00133333333333333
mprestamos_prendarios	1.47432149192127e-05	0.00136462834164834	0.000666666666666667
mtarjeta_master_consumo	1.16968915053252e-05	0.000738179514090814	0.00266666666666667
mpagodeservicios	1.0959159273519e-05	9.51678991257816e-05	0.000666666666666667
mcheques_depositados	1.07640696432421e-05	0.000636743795964385	0.00133333333333333
ccuenta_debitos_automaticos	9.29714292978683e-06	0.00154681900313094	0.002
mttarjeta_master_debitos_automaticos	9.27017169314729e-06	0.000869833992423267	0.002
mcheques_emitidos	8.88854102165553e-06	0.00956299615313366	0.00266666666666667
cforex_buy	8.88530863980726e-06	0.00281918626026249	0.00133333333333333
tcuentas	8.67704404524332e-06	0.000510569874342644	0.00133333333333333
Master_mconsumospesos	7.09132752850174e-06	0.00107252375276306	0.00133333333333333
Master_mlimitecompra	6.54893844711732e-06	0.00157273810006116	0.00133333333333333
ctarjeta_visa	6.07250704049098e-06	0.000179102170960547	0.00133333333333333
cseguro_vida	5.91318763298636e-06	0.000104251694778895	0.000666666666666667
cliente_vip	5.04479369040978e-06	0.000571158791348908	0.000666666666666667
Visa_Finiciomora	4.85134642976766e-06	0.00156374514236458	0.000666666666666667
mforex_buy	4.70149802049015e-06	0.000366531154603114	0.000666666666666667
cprestamos_prendarios	4.41733133162685e-06	0.00103649136333905	0.000666666666666667
cforex_sell	4.07363186657778e-06	1.42010005377001e-05	0.000666666666666667
Master_status	2.52691225943898e-06	0.000242870416445401	0.000666666666666667
cseguro_vivienda	2.4361167751743e-06	0.000184067979250915	0.000666666666666667
tmobile_app	2.43330894771371e-06	6.21634415861373e-05	0.000666666666666667
cinversion1	2.42615637284126e-06	0.000487073122919924	0.000666666666666667
