experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310_nd10	20220620 042421	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.044836983	0.691166736	794	7975	419	0.054247464	11014	17306000	53
HT8310_nd10	20220620 015900	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.044264381	0.692632944	793	6568	320	0.062933856	9822	17178000	10
HT8310_nd10	20220620 042833	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.049101144	0.804895083	86	4830	478	0.054318518	10314	17166000	54
HT8310_nd10	20220620 043303	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043381506	0.840703229	106	3376	489	0.052761996	10324	17036000	55
HT8310_nd10	20220620 041516	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.040690399	0.709176571	811	6869	329	0.057757314	10622	16978000	51
HT8310_nd10	20220620 080900	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.056397241	0.165217367	903	4745	467	0.055124318	10130	16870000	111
HT8310_nd10	20220620 045504	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.044098959	0.694134328	870	7508	411	0.060982872	9934	16826000	61
HT8310_nd10	20220620 050151	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.041904308	0.910659952	110	4363	492	0.05960768	9616	16784000	63
HT8310_nd10	20220620 030951	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.052094539	0.990747634	791	3517	399	0.034893431	12538	16742000	29
HT8310_nd10	20220620 022518	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.049082528	0.639379496	464	6118	263	0.062801633	10026	16734000	18
HT8310_nd10	20220620 013336	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.124260143	0.422603217	362	5930	76	0.077784928	8854	16706000	2
HT8310_nd10	20220620 044447	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.047374413	0.852148654	84	7945	217	0.056774053	10794	16686000	58
HT8310_nd10	20220620 063315	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.041651107	0.513292195	994	4816	190	0.051259674	11766	16674000	85
HT8310_nd10	20220620 045050	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.035287734	0.815829186	101	5511	216	0.05639841	10710	16650000	60
HT8310_nd10	20220620 035327	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.051476572	0.914142999	37	3074	307	0.053790013	10604	16636000	43
HT8310_nd10	20220620 052815	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.042023348	0.686718698	770	7124	250	0.068591028	9404	16636000	70
HT8310_nd10	20220620 014634	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.13289478	0.903896782	405	7740	102	0.056659654	10746	16614000	6
HT8310_nd10	20220620 052212	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.044350921	0.734142551	791	6853	558	0.051356848	10778	16582000	68
HT8310_nd10	20220620 065830	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043728541	0.842515872	19	2761	1301	0.057457202	9898	16502000	91
HT8310_nd10	20220620 020205	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.034960431	0.735583423	73	6377	229	0.054435317	11228	16492000	11
HT8310_nd10	20220620 061027	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.048427309	0.805147946	499	5142	329	0.046435864	11588	16492000	79
HT8310_nd10	20220620 045709	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.056506455	0.821500255	86	3114	116	0.058386176	10062	16458000	62
HT8310_nd10	20220620 043849	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.052093139	0.827794721	164	5518	654	0.049894739	9946	16454000	56
HT8310_nd10	20220620 071113	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043746599	0.84019619	22	4775	1065	0.049365345	11184	16416000	94
HT8310_nd10	20220620 054654	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.045276594	0.691878806	453	7708	225	0.064132532	9890	16390000	74
HT8310_nd10	20220620 025343	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.061244138	0.96935434	684	25	237	0.013605859	9898	16382000	24
HT8310_nd10	20220620 061424	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.047322114	0.840752599	148	4000	305	0.045120842	11940	16380000	80
HT8310_nd10	20220620 053906	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.046263024	0.679948386	763	6800	436	0.05705653	10322	16318000	72
HT8310_nd10	20220620 082210	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.083771137	0.982837307	834	3810	587	0.024621534	10324	16316000	114
HT8310_nd10	20220620 055638	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.042717346	0.803386857	111	5791	492	0.044039941	12018	16302000	76
HT8310_nd10	20220620 071917	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.11868245	0.421873313	859	3775	71	0.067709991	9500	16300000	96
HT8310_nd10	20220620 053443	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.050029081	0.836622787	91	3567	956	0.035295646	11672	16288000	71
HT8310_nd10	20220620 080211	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.085455684	0.920547404	828	4018	405	0.036698757	10472	16288000	109
HT8310_nd10	20220620 055139	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.042771846	0.844503726	169	6033	475	0.049167001	11090	16270000	75
HT8310_nd10	20220620 060623	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.045554253	0.689596308	773	7198	537	0.061935284	9654	16266000	78
HT8310_nd10	20220620 070318	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.045807315	0.91252008	143	3861	442	0.050727432	10282	16238000	92
HT8310_nd10	20220620 054347	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.048599204	0.812909579	113	5881	466	0.080836557	7646	16234000	73
HT8310_nd10	20220620 025613	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144227178	0.734236518	548	6453	175	0.067299653	8968	16232000	25
HT8310_nd10	20220620 044737	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.046727199	0.761247813	116	4917	168	0.040810722	13108	16172000	59
