fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220530 203610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	228	TRUE	0.0673838180912085	0.99539897253101	7743	32	15.1083485672543	69.6140980669419	0.0175811613262231	12582000	68
20220530 203646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	219	TRUE	0.0345680837793194	0.388069312880952	7170	840	1.7384873992449	0.906809451886827	0.0154631841207077	13299000	69
20220530 203730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	369	TRUE	0.0367140974093305	0.28724590069533	6462	41	2.58326930145945	0.0449170419098129	0.0133817965630507	13269000	70
20220530 203750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	159	TRUE	0.0844870405724622	0.610760808691205	8000	1024	0.0422718329349079	69.7165267201315	0.0154376039668269	13419000	71
20220530 203808	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	165	TRUE	0.0655073948561185	0.647165813020846	7997	487	0.0882404939972426	57.1462791540569	0.0177544685459043	13056000	72
20220530 203830	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	247	TRUE	0.065145721581516	0.91385951327459	7988	912	2.02697750596165	99.9136857370404	0.0158085716209723	12841000	73
20220530 203841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	5	TRUE	0.107665874976138	0.464636235149604	7998	511	0.331194561936396	74.8721980296068	0.00837614359520156	11513000	74
20220530 203850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.131969361224517	0.943125399819036	7959	1019	0.122347326416163	19.9117450537336	0.0159856524577888	12762000	75
20220530 203915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	123	TRUE	0.0581203360664323	0.424321606640229	7647	269	0.0838012413700287	0.135899136930839	0.0173704581056609	13190000	76
20220530 203925	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	41	TRUE	0.299389644891593	0.203244349073391	1855	582	0.591253129760603	69.0401798244368	0.0151438023170675	13166000	77
20220530 204006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	328	TRUE	0.0107129058766475	0.844145090396399	2	16	45.2798922534436	64.6843421934138	0.0132662946914305	12311000	78
20220530 204231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1196	TRUE	0.0106841587744724	0.573418147738477	4841	1024	0.19100390456214	69.4869798429483	0.0161863113470952	13287000	79
20220530 204344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	369	TRUE	0.0102438298986395	0.316249585849195	1450	16	6.11337200917005	16.5679641359729	0.0144840507399507	13383000	80
20220530 204432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	444	TRUE	0.017656170708442	0.20216748555734	7843	1024	62.1485777770117	1.27586088236178	0.020110024631254	11085000	81
20220530 204522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	311	TRUE	0.0441271835033359	0.396199531642083	519	1012	0.0348923518526364	94.9229294557433	0.0124191321486627	13546000	82
20220530 204603	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	255	TRUE	0.0424435047708509	0.372412454957579	949	1016	0.0113430262458376	67.1628193923584	0.0135758467355381	13343000	83
20220530 204619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	41	TRUE	0.0873690862527677	0.399969651700321	9	1022	15.3447662430839	99.7756022185593	0.0129980661936647	12780000	84
20220530 204644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	39	TRUE	0.0371121729629354	0.478062865203503	330	739	0.201496956094921	99.8756545461722	0.0084039668447215	12515000	85
20220530 204720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	323	TRUE	0.0517165160161707	0.203105163709468	2433	948	0.153260778483197	99.9118887536116	0.0222907044566349	12703000	86
20220530 204802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	287	TRUE	0.0496182258116008	0.344698139832641	960	645	0.00357335380488385	88.6802521005256	0.0133259804077297	13726000	87
20220530 204851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	370	TRUE	0.0604725409498204	0.244921213339316	256	654	0.0466157231074799	86.3725511999169	0.0127408209870676	13251000	88
20220530 204931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	229	TRUE	0.0369628171822018	0.43052723213844	2044	835	0.110738658153975	95.7013314747919	0.0138764247831454	13521000	89
20220530 205001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	131	TRUE	0.0517012296862661	0.475401059858966	915	919	0.066164893279355	91.7239778606585	0.0157759236502565	13498000	90
