fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 213349	-0.413247481980978	4211	1043	20	5	9645000	89
20220520 213428	-0.674016548617159	1890	943	13	5	10345000	90
20220520 213507	-0.876666682718407	2149	1022	13	5	10600000	91
20220520 213544	-0.382014470684268	2156	1054	11	5	10637000	92
20220520 213622	-0.879433691741372	2179	969	20	5	10802000	93
20220520 213711	-0.199118717120654	555	276	20	5	8986000	94
20220520 213728	-0.839375614146085	5744	2000	3	5	8028000	95
20220520 213803	-0.869275082920778	6836	466	20	5	8146000	96
20220520 213835	-0.123471778776111	4011	2000	20	5	8706000	97
20220520 213911	-0.999530438770141	2345	938	20	5	10636000	98
20220520 213946	-0.817713384424951	2176	992	8	5	10582000	99
20220520 214019	-0.883854179519811	2227	944	8	5	10639000	100
20220520 214100	-0.504149293074822	5234	309	20	5	9424000	101
20220520 214133	-0.860109630983025	2128	1062	8	5	10669000	102
20220520 214203	-0.236753776609874	7997	2000	12	5	7721000	103
20220520 214240	-0.968994684818641	2235	979	20	5	10652000	104
20220520 214314	-0.22048087811024	1722	858	8	5	10488000	105
20220520 214351	-0.430163574385195	8000	347	20	5	7721000	106
20220520 214408	-0.221088940225096	7998	3	3	5	7720000	107
20220520 214453	-0.436693033276356	2206	294	20	5	9779000	108
20220520 214530	-0.878638394132924	2259	977	19	5	10652000	109
20220520 214602	-0.868597080607439	1997	991	7	5	10197000	110
20220520 214641	-0.868552652525289	2292	1054	9	5	10476000	111
20220520 214701	-0.891008370382697	2331	1079	3	5	8291000	112
20220520 214728	-0.853503737440359	2310	432	5	5	9720000	113
20220520 214805	-0.408103744533464	2050	940	8	5	10274000	114
20220520 214831	-0.70214902081963	1772	885	5	5	10752000	115
20220520 214900	-0.565653830364394	2113	1056	5	5	10494000	116
