fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220603 034625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	762	TRUE	0.0149702823108728	0.201310038686049	10291	1184	0.0163199287969909	133658000	HT6010	165	1658475	42
20220603 040510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	694	TRUE	0.0149463866837014	0.267565525898078	13476	1212	0.0165147642267018	133135000	HT6010	165	1658475	43
20220603 043550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	841	TRUE	0.0101314307912198	0.322317228027631	10454	722	0.0157767935658567	134453000	HT6010	165	1658475	44
20220603 050103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	792	TRUE	0.0107707110541514	0.344913181685519	10957	397	0.0156583454073098	132623000	HT6010	165	1658475	45
20220603 052842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	989	TRUE	0.0100038194790187	0.260376331215551	9803	812	0.0156785945871691	133159000	HT6010	165	1658475	46
20220603 055337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	914	TRUE	0.0127993494921297	0.333236237772979	14558	689	0.0164885500099313	133367000	HT6010	165	1658475	47
20220603 061734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	581	TRUE	0.0104667322414701	0.328575356355982	5581	2047	0.0165614784766817	133558000	HT6010	165	1658475	48
20220603 064910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1077	TRUE	0.0102342991484251	0.750155730961357	10479	1090	0.0158105613647939	132388000	HT6010	165	1658475	49
20220603 070736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0100752918842603	0.200861491426278	35	1974	0.0153991437806852	78949000	HT6010	165	1658475	50
20220603 072555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1087	TRUE	0.0278055070112877	0.300826275905319	4097	16	0.0173119350554007	132956000	HT6010	165	1658475	51
20220603 075327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	589	TRUE	0.0101066434712926	0.430728515026239	4019	639	0.0148060700868073	132647000	HT6010	165	1658475	52
20220603 081920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	512	TRUE	0.0103515502976142	0.607875584664557	5218	1674	0.0187618463651372	131217000	HT6010	165	1658475	53
20220603 091022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	3582	TRUE	0.0113698728376924	0.203864474138148	3211	17	0.0104102246758415	127873000	HT6010	165	1658475	54
20220603 093610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1083	TRUE	0.0100632849179639	0.219520551553531	18277	490	0.0168950827758666	133225000	HT6010	165	1658475	55
20220603 101254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1366	TRUE	0.0101270298813751	0.391978471244658	17292	1703	0.0146905376701536	133394000	HT6010	165	1658475	56
20220603 103543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	692	TRUE	0.0101323106250733	0.2432133515508	7147	2034	0.0166177765466637	133251000	HT6010	165	1658475	57
20220603 111836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	2505	TRUE	0.0100591848742531	0.25441573733165	18636	18	0.0120078157539487	130954000	HT6010	165	1658475	58
20220603 113459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0129528730385019	0.244886755538708	4383	940	0.0178337375282099	132858000	HT6010	165	1658475	59
20220603 120841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1035	TRUE	0.0102056952958866	0.51182975099484	17079	1289	0.0166886294324516	132288000	HT6010	165	1658475	60
20220603 121309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0704245510687067	0.332128319574956	4017	701	0.014969834060985	128910000	HT6010	165	1658475	61
20220603 123635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	920	TRUE	0.0101389985903286	0.592698232359806	2647	32	0.0183584924032027	131254000	HT6010	165	1658475	62
20220603 130348	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1057	TRUE	0.0101374665456079	0.941165076923395	19580	296	0.0172478058518885	131952000	HT6010	165	1658475	63
20220603 133843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1634	TRUE	0.0100462272694576	0.220589145944176	15496	1883	0.0153056716807817	133524000	HT6010	165	1658475	64
20220603 135410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	655	TRUE	0.0192061003551827	0.231096202572604	19753	1871	0.0170365850255172	132835000	HT6010	165	1658475	65
20220603 142200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1246	TRUE	0.0141968504798464	0.827390920495667	19386	2025	0.013218808981621	132069000	HT6010	165	1658475	66
20220603 142907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	206	TRUE	0.0536085946657251	0.432909831209771	18481	2048	0.0152579979416654	131040000	HT6010	165	1658475	67
20220603 145201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	847	TRUE	0.0108931716079902	0.81394198218575	19994	1570	0.0168804468759767	131895000	HT6010	165	1658475	68
20220603 165127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6077	TRUE	0.0102259756477769	0.35626485225049	19987	1685	0.0085757028118455	127278000	HT6010	165	1658475	69
20220603 170905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	645	TRUE	0.0140443125573453	0.274755103150213	19244	108	0.0215894072020389	130120000	HT6010	165	1658475	70
20220603 173416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	839	TRUE	0.0102115697281236	0.901897267442841	13735	192	0.0163376609469575	131567000	HT6010	165	1658475	71
20220603 175706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	816	TRUE	0.0134875152162075	0.999062126077359	13398	1990	0.0155037278293854	131421000	HT6010	165	1658475	72
20220603 182533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	751	TRUE	0.010133300090829	0.464725163224328	10302	1878	0.0149429583920258	133046000	HT6010	165	1658475	73
20220603 184652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	794	TRUE	0.0128230956418884	0.954396840493056	18059	1773	0.0154532040796985	132008000	HT6010	165	1658475	74
20220603 185119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0905041022414196	0.938454723243198	15861	1866	0.0133407777950775	130444000	HT6010	165	1658475	75
20220603 191428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	660	TRUE	0.0100063904251539	0.271902331459235	6111	339	0.016963391435529	133151000	HT6010	165	1658475	76
20220603 192829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	736	TRUE	0.0209116066398627	0.202280201639992	15607	23	0.016436629902914	133623000	HT6010	165	1658475	77
20220603 195928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1490	TRUE	0.0104664084539928	0.20311530502103	19624	823	0.0160161359092488	133425000	HT6010	165	1658475	78
20220603 200808	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	385	TRUE	0.0474793558423326	0.211986119031252	16768	186	0.0155563499664629	132481000	HT6010	165	1658475	79
20220603 201102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.206766342100592	0.948980902711277	19996	16	0.0144764957116147	128053000	HT6010	165	1658475	80
20220603 203414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1087	TRUE	0.0142714801625122	0.203487385705279	17648	907	0.0156755513891563	132513000	HT6010	165	1658475	81
20220603 210519	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1403	TRUE	0.0103770490369103	0.222304811746167	16367	1653	0.0162451564498032	133316000	HT6010	165	1658475	82
20220603 213417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	659	TRUE	0.0101852498834306	0.996810420089472	4338	1910	0.0138181413274299	130591000	HT6010	165	1658475	83
20220603 213608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.29990706824092	0.998448470242686	19689	2041	0.0145347589082007	122848000	HT6010	165	1658475	84
20220603 215003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	446	TRUE	0.0316009710253995	0.517640487583292	19504	535	0.0158762737483149	132989000	HT6010	165	1658475	85
